"household_id","chw_id","region","visit_date","family_size","has_itn","referral_code","issue_date","redemption_date","redemption_facility","referral_status","redemption_status"
"HH0001","CHW007","Ruaraka",2023-08-18,1,FALSE,"REF0001",2023-08-18,2023-09-01,"FAC011","Yes","Yes"
"HH0002","CHW005","Uthiru",2023-04-21,6,FALSE,"REF0002",2023-04-21,2023-05-03,"FAC012","Yes","Yes"
"HH0003","CHW010","Limuru",2023-01-23,2,FALSE,NA,NA,NA,NA,"No","No"
"HH0004","CHW007","Ruaraka",2023-10-10,6,FALSE,"REF0003",2023-10-10,NA,NA,"Yes","No"
"HH0005","CHW001","Limuru",2023-04-27,2,FALSE,NA,NA,NA,NA,"No","No"
"HH0006","CHW002","Uthiru",2023-05-23,6,FALSE,"REF0004",2023-05-23,2023-06-14,"FAC009","Yes","Yes"
"HH0007","CHW002","Ruaraka",2023-10-01,3,FALSE,"REF0005",2023-10-01,2023-10-31,"FAC018","Yes","Yes"
"HH0008","CHW004","Juja",2023-01-29,1,FALSE,NA,NA,NA,NA,"No","No"
"HH0009","CHW007","Ruaraka",2023-02-03,6,FALSE,"REF0006",2023-02-03,NA,NA,"Yes","No"
"HH0010","CHW008","Dagoretti",2023-05-16,5,TRUE,NA,NA,NA,NA,"No","No"
"HH0011","CHW010","Limuru",2023-10-26,4,FALSE,NA,NA,NA,NA,"No","No"
"HH0012","CHW003","Limuru",2023-02-16,2,FALSE,"REF0007",2023-02-16,2023-03-10,"FAC014","Yes","Yes"
"HH0013","CHW010","Juja",2023-07-17,8,FALSE,"REF0008",2023-07-17,NA,NA,"Yes","No"
"HH0014","CHW001","Limuru",2023-02-28,5,FALSE,"REF0009",2023-02-28,2023-03-10,"FAC014","Yes","Yes"
"HH0015","CHW003","Limuru",2023-01-02,5,FALSE,NA,NA,NA,NA,"No","No"
"HH0016","CHW003","Limuru",2023-11-17,4,FALSE,"REF0010",2023-11-17,NA,NA,"Yes","No"
"HH0017","CHW009","Ruaraka",2023-01-01,8,FALSE,"REF0011",2023-01-01,NA,NA,"Yes","No"
"HH0018","CHW005","Uthiru",2023-01-30,2,FALSE,"REF0012",2023-01-30,NA,NA,"Yes","No"
"HH0019","CHW002","Ruaraka",2023-03-07,3,FALSE,"REF0013",2023-03-07,NA,NA,"Yes","No"
"HH0020","CHW007","Ruaraka",2023-10-04,4,FALSE,"REF0014",2023-10-04,2023-10-26,"FAC012","Yes","Yes"
"HH0021","CHW008","Dagoretti",2023-03-03,2,FALSE,"REF0015",2023-03-03,NA,NA,"Yes","No"
"HH0022","CHW004","Juja",2023-01-04,1,TRUE,NA,NA,NA,NA,"No","No"
"HH0023","CHW004","Juja",2023-01-17,2,FALSE,"REF0016",2023-01-17,2023-02-02,"FAC007","Yes","Yes"
"HH0024","CHW009","Kasarani",2023-10-20,4,FALSE,"REF0017",2023-10-20,NA,NA,"Yes","No"
"HH0025","CHW004","Juja",2023-02-19,6,FALSE,"REF0018",2023-02-19,NA,NA,"Yes","No"
"HH0026","CHW001","Limuru",2023-12-01,2,FALSE,"REF0019",2023-12-01,NA,NA,"Yes","No"
"HH0027","CHW002","Ruaraka",2023-04-09,8,TRUE,NA,NA,NA,NA,"No","No"
"HH0028","CHW003","Limuru",2023-04-04,4,FALSE,NA,NA,NA,NA,"No","No"
"HH0029","CHW002","Uthiru",2023-10-09,1,TRUE,NA,NA,NA,NA,"No","No"
"HH0030","CHW002","Ruaraka",2023-03-27,8,FALSE,"REF0020",2023-03-27,NA,NA,"Yes","No"
"HH0031","CHW001","Lang'ata",2023-07-14,7,TRUE,NA,NA,NA,NA,"No","No"
"HH0032","CHW005","Dagoretti",2023-05-27,8,FALSE,"REF0021",2023-05-27,2023-05-29,"FAC019","Yes","Yes"
"HH0033","CHW009","Kasarani",2023-06-10,8,TRUE,NA,NA,NA,NA,"No","No"
"HH0034","CHW009","Ruaraka",2023-03-22,2,TRUE,NA,NA,NA,NA,"No","No"
"HH0035","CHW003","Limuru",2023-11-01,4,TRUE,NA,NA,NA,NA,"No","No"
"HH0036","CHW007","Ruaraka",2023-10-19,1,FALSE,"REF0022",2023-10-19,NA,NA,"Yes","No"
"HH0037","CHW010","Dagoretti",2023-09-25,5,FALSE,"REF0023",2023-09-25,NA,NA,"Yes","No"
"HH0038","CHW004","Juja",2023-07-22,5,TRUE,NA,NA,NA,NA,"No","No"
"HH0039","CHW008","Dagoretti",2023-02-07,2,TRUE,NA,NA,NA,NA,"No","No"
"HH0040","CHW002","Ruaraka",2023-09-17,6,FALSE,NA,NA,NA,NA,"No","No"
"HH0041","CHW004","Juja",2023-05-26,5,TRUE,NA,NA,NA,NA,"No","No"
"HH0042","CHW010","Dagoretti",2023-09-28,5,TRUE,NA,NA,NA,NA,"No","No"
"HH0043","CHW002","Ruaraka",2023-05-16,2,TRUE,NA,NA,NA,NA,"No","No"
"HH0044","CHW009","Kasarani",2023-05-20,4,FALSE,"REF0024",2023-05-20,2023-06-10,"FAC009","Yes","Yes"
"HH0045","CHW009","Dagoretti",2023-05-09,1,FALSE,"REF0025",2023-05-09,NA,NA,"Yes","No"
"HH0046","CHW005","Uthiru",2023-01-02,3,FALSE,"REF0026",2023-01-02,2023-01-26,"FAC015","Yes","Yes"
"HH0047","CHW009","Ruaraka",2023-08-07,2,FALSE,"REF0027",2023-08-07,NA,NA,"Yes","No"
"HH0048","CHW003","Limuru",2023-07-09,3,FALSE,"REF0028",2023-07-09,2023-07-21,"FAC002","Yes","Yes"
"HH0049","CHW006","Embakasi",2023-12-16,2,FALSE,"REF0029",2023-12-16,NA,NA,"Yes","No"
"HH0050","CHW007","Ruaraka",2023-05-02,3,FALSE,NA,NA,NA,NA,"No","No"
"HH0051","CHW001","Lang'ata",2023-06-20,7,FALSE,NA,NA,NA,NA,"No","No"
"HH0052","CHW004","Juja",2023-03-23,2,FALSE,"REF0030",2023-03-23,2023-04-08,"FAC008","Yes","Yes"
"HH0053","CHW004","Juja",2023-06-29,4,FALSE,"REF0031",2023-06-29,NA,NA,"Yes","No"
"HH0054","CHW007","Ruaraka",2023-05-23,5,FALSE,"REF0032",2023-05-23,NA,NA,"Yes","No"
"HH0055","CHW009","Dagoretti",2023-01-15,5,TRUE,NA,NA,NA,NA,"No","No"
"HH0056","CHW003","Limuru",2023-01-20,7,TRUE,NA,NA,NA,NA,"No","No"
"HH0057","CHW006","Kawangware",2023-06-10,2,FALSE,"REF0033",2023-06-10,NA,NA,"Yes","No"
"HH0058","CHW005","Uthiru",2023-12-29,4,FALSE,"REF0034",2023-12-29,2024-01-20,"FAC011","Yes","Yes"
"HH0059","CHW010","Limuru",2023-12-06,5,FALSE,"REF0035",2023-12-06,NA,NA,"Yes","No"
"HH0060","CHW006","Kasarani",2023-12-23,3,FALSE,"REF0036",2023-12-23,NA,NA,"Yes","No"
"HH0061","CHW007","Ruaraka",2023-11-12,7,FALSE,"REF0037",2023-11-12,2023-11-22,"FAC007","Yes","Yes"
"HH0062","CHW007","Ruaraka",2023-08-27,4,FALSE,"REF0038",2023-08-27,NA,NA,"Yes","No"
"HH0063","CHW003","Limuru",2023-05-26,6,FALSE,"REF0039",2023-05-26,NA,NA,"Yes","No"
"HH0064","CHW004","Juja",2023-04-26,3,FALSE,"REF0040",2023-04-26,2023-05-12,"FAC020","Yes","Yes"
"HH0065","CHW002","Uthiru",2023-08-01,4,FALSE,"REF0041",2023-08-01,2023-08-14,"FAC008","Yes","Yes"
"HH0066","CHW003","Limuru",2023-02-24,4,FALSE,"REF0042",2023-02-24,NA,NA,"Yes","No"
"HH0067","CHW009","Dagoretti",2023-01-26,2,FALSE,"REF0043",2023-01-26,NA,NA,"Yes","No"
"HH0068","CHW009","Ruaraka",2023-11-01,8,FALSE,"REF0044",2023-11-01,NA,NA,"Yes","No"
"HH0069","CHW009","Dagoretti",2023-10-08,3,FALSE,"REF0045",2023-10-08,NA,NA,"Yes","No"
"HH0070","CHW005","Uthiru",2023-11-23,8,FALSE,"REF0046",2023-11-23,2023-11-26,"FAC010","Yes","Yes"
"HH0071","CHW004","Juja",2023-06-21,2,FALSE,"REF0047",2023-06-21,2023-07-14,"FAC005","Yes","Yes"
"HH0072","CHW004","Juja",2023-08-01,8,FALSE,"REF0048",2023-08-01,2023-08-15,"FAC013","Yes","Yes"
"HH0073","CHW010","Dagoretti",2023-01-11,7,FALSE,"REF0049",2023-01-11,NA,NA,"Yes","No"
"HH0074","CHW005","Dagoretti",2023-08-03,4,FALSE,"REF0050",2023-08-03,2023-08-19,"FAC001","Yes","Yes"
"HH0075","CHW007","Ruaraka",2023-12-09,7,FALSE,"REF0051",2023-12-09,NA,NA,"Yes","No"
"HH0076","CHW003","Limuru",2023-07-21,1,FALSE,"REF0052",2023-07-21,NA,NA,"Yes","No"
"HH0077","CHW008","Dagoretti",2023-01-26,6,FALSE,"REF0053",2023-01-26,2023-02-20,"FAC013","Yes","Yes"
"HH0078","CHW005","Dagoretti",2023-05-10,8,FALSE,"REF0054",2023-05-10,NA,NA,"Yes","No"
"HH0079","CHW006","Embakasi",2023-11-29,1,TRUE,NA,NA,NA,NA,"No","No"
"HH0080","CHW001","Lang'ata",2023-04-13,3,FALSE,"REF0055",2023-04-13,NA,NA,"Yes","No"
"HH0081","CHW002","Ruaraka",2023-08-27,6,FALSE,"REF0056",2023-08-27,NA,NA,"Yes","No"
"HH0082","CHW002","Ruaraka",2023-06-09,1,TRUE,NA,NA,NA,NA,"No","No"
"HH0083","CHW005","Lang'ata",2023-12-13,7,FALSE,"REF0057",2023-12-13,NA,NA,"Yes","No"
"HH0084","CHW002","Ruaraka",2023-02-22,5,FALSE,NA,NA,NA,NA,"No","No"
"HH0085","CHW010","Juja",2023-10-17,6,FALSE,"REF0058",2023-10-17,NA,NA,"Yes","No"
"HH0086","CHW002","Uthiru",2023-01-07,8,FALSE,"REF0059",2023-01-07,NA,NA,"Yes","No"
"HH0087","CHW008","Dagoretti",2023-08-11,5,TRUE,NA,NA,NA,NA,"No","No"
"HH0088","CHW010","Dagoretti",2023-09-05,5,FALSE,"REF0060",2023-09-05,2023-10-05,"FAC003","Yes","Yes"
"HH0089","CHW005","Dagoretti",2023-05-05,7,FALSE,"REF0061",2023-05-05,NA,NA,"Yes","No"
"HH0090","CHW006","Embakasi",2023-09-07,5,FALSE,"REF0062",2023-09-07,NA,NA,"Yes","No"
"HH0091","CHW005","Lang'ata",2023-01-06,4,FALSE,"REF0063",2023-01-06,NA,NA,"Yes","No"
"HH0092","CHW008","Dagoretti",2023-12-20,8,FALSE,"REF0064",2023-12-20,2023-12-30,"FAC008","Yes","Yes"
"HH0093","CHW007","Ruaraka",2023-06-06,6,FALSE,"REF0065",2023-06-06,NA,NA,"Yes","No"
"HH0094","CHW007","Ruaraka",2023-06-30,5,FALSE,"REF0066",2023-06-30,2023-07-24,"FAC007","Yes","Yes"
"HH0095","CHW006","Embakasi",2023-10-02,3,FALSE,"REF0067",2023-10-02,NA,NA,"Yes","No"
"HH0096","CHW005","Lang'ata",2023-10-29,5,FALSE,NA,NA,NA,NA,"No","No"
"HH0097","CHW004","Juja",2023-04-27,5,FALSE,"REF0068",2023-04-27,NA,NA,"Yes","No"
"HH0098","CHW005","Uthiru",2023-01-28,3,FALSE,"REF0069",2023-01-28,NA,NA,"Yes","No"
"HH0099","CHW002","Ruaraka",2023-10-21,8,FALSE,"REF0070",2023-10-21,2023-10-23,"FAC009","Yes","Yes"
"HH0100","CHW008","Dagoretti",2023-02-03,2,FALSE,"REF0071",2023-02-03,NA,NA,"Yes","No"
"HH0101","CHW003","Limuru",2023-10-16,2,FALSE,NA,NA,NA,NA,"No","No"
"HH0102","CHW002","Uthiru",2023-11-07,4,FALSE,"REF0072",2023-11-07,2023-12-07,"FAC015","Yes","Yes"
"HH0103","CHW005","Lang'ata",2023-08-08,1,FALSE,"REF0073",2023-08-08,NA,NA,"Yes","No"
"HH0104","CHW004","Juja",2023-05-16,3,FALSE,"REF0074",2023-05-16,NA,NA,"Yes","No"
"HH0105","CHW003","Limuru",2023-07-29,8,FALSE,"REF0075",2023-07-29,2023-08-21,"FAC010","Yes","Yes"
"HH0106","CHW008","Dagoretti",2023-12-18,5,FALSE,"REF0076",2023-12-18,NA,NA,"Yes","No"
"HH0107","CHW004","Juja",2023-02-28,3,FALSE,NA,NA,NA,NA,"No","No"
"HH0108","CHW003","Limuru",2023-01-31,5,TRUE,NA,NA,NA,NA,"No","No"
"HH0109","CHW010","Dagoretti",2023-10-19,8,FALSE,"REF0077",2023-10-19,NA,NA,"Yes","No"
"HH0110","CHW007","Ruaraka",2023-09-14,8,FALSE,"REF0078",2023-09-14,2023-09-28,"FAC011","Yes","Yes"
"HH0111","CHW010","Limuru",2023-01-14,1,TRUE,NA,NA,NA,NA,"No","No"
"HH0112","CHW005","Lang'ata",2023-01-21,3,FALSE,"REF0079",2023-01-21,NA,NA,"Yes","No"
"HH0113","CHW005","Uthiru",2023-10-27,8,FALSE,NA,NA,NA,NA,"No","No"
"HH0114","CHW008","Dagoretti",2023-07-29,2,FALSE,NA,NA,NA,NA,"No","No"
"HH0115","CHW006","Kasarani",2023-12-22,7,FALSE,NA,NA,NA,NA,"No","No"
"HH0116","CHW009","Kasarani",2023-08-21,5,TRUE,NA,NA,NA,NA,"No","No"
"HH0117","CHW006","Embakasi",2023-07-26,1,FALSE,"REF0080",2023-07-26,NA,NA,"Yes","No"
"HH0118","CHW007","Ruaraka",2023-04-07,8,FALSE,"REF0081",2023-04-07,NA,NA,"Yes","No"
"HH0119","CHW004","Juja",2023-10-09,5,TRUE,NA,NA,NA,NA,"No","No"
"HH0120","CHW008","Dagoretti",2023-03-04,4,TRUE,NA,NA,NA,NA,"No","No"
"HH0121","CHW003","Limuru",2023-10-10,7,TRUE,NA,NA,NA,NA,"No","No"
"HH0122","CHW002","Ruaraka",2023-02-28,2,FALSE,"REF0082",2023-02-28,2023-03-30,"FAC010","Yes","Yes"
"HH0123","CHW009","Ruaraka",2023-05-20,8,FALSE,NA,NA,NA,NA,"No","No"
"HH0124","CHW004","Juja",2023-10-10,4,TRUE,NA,NA,NA,NA,"No","No"
"HH0125","CHW010","Dagoretti",2023-03-11,5,FALSE,"REF0083",2023-03-11,NA,NA,"Yes","No"
"HH0126","CHW006","Kawangware",2023-05-17,5,FALSE,"REF0084",2023-05-17,NA,NA,"Yes","No"
"HH0127","CHW010","Dagoretti",2023-09-08,8,FALSE,"REF0085",2023-09-08,2023-09-26,"FAC018","Yes","Yes"
"HH0128","CHW007","Ruaraka",2023-06-14,4,FALSE,"REF0086",2023-06-14,2023-07-09,"FAC014","Yes","Yes"
"HH0129","CHW001","Kasarani",2023-08-31,7,FALSE,"REF0087",2023-08-31,NA,NA,"Yes","No"
"HH0130","CHW003","Limuru",2023-01-19,6,TRUE,NA,NA,NA,NA,"No","No"
"HH0131","CHW002","Uthiru",2023-02-21,8,FALSE,"REF0088",2023-02-21,2023-03-21,"FAC005","Yes","Yes"
"HH0132","CHW002","Uthiru",2023-05-16,7,FALSE,"REF0089",2023-05-16,NA,NA,"Yes","No"
"HH0133","CHW009","Dagoretti",2023-06-12,8,FALSE,NA,NA,NA,NA,"No","No"
"HH0134","CHW001","Limuru",2023-02-05,5,FALSE,NA,NA,NA,NA,"No","No"
"HH0135","CHW002","Uthiru",2023-02-20,2,FALSE,"REF0090",2023-02-20,NA,NA,"Yes","No"
"HH0136","CHW001","Lang'ata",2023-06-16,5,FALSE,"REF0091",2023-06-16,NA,NA,"Yes","No"
"HH0137","CHW004","Juja",2023-10-17,3,FALSE,"REF0092",2023-10-17,2023-11-14,"FAC013","Yes","Yes"
"HH0138","CHW010","Dagoretti",2023-05-04,3,FALSE,"REF0093",2023-05-04,NA,NA,"Yes","No"
