household_id,chw_id,region,visit_date,family_size,has_itn
HH0001,CHW007,Ruaraka,2023-08-18,1,False
HH0002,CHW005,Uthiru,2023-04-21,6,False
HH0003,CHW010,Limuru,2023-01-23,2,False
HH0004,CHW007,Ruaraka,2023-10-10,6,False
HH0005,CHW001,Limuru,2023-04-27,2,False
HH0006,CHW002,Uthiru,2023-05-23,6,False
HH0007,CHW002,Ruaraka,2023-10-01,3,False
HH0008,CHW004,Juja,2023-01-29,1,False
HH0009,CHW007,Ruaraka,2023-02-03,6,False
HH0010,CHW008,Dagoreti,2023-05-16,5,True
HH0011,CHW010,Limuru,2023-10-26,4,False
HH0012,CHW003,Limuru,2023-02-16,2,False
HH0013,CHW010,Juja,2023-07-17,8,False
HH0014,CHW001,Limuru,2023-02-28,5,False
HH0015,CHW003,Limuru,2023-01-02,5,False
HH0016,CHW003,Limuru,2023-11-17,4,False
HH0017,CHW009,Ruaraka,2023-01-01,8,False
HH0018,CHW005,Uthiru,2023-01-30,2,False
HH0019,CHW002,Ruaraka,2023-03-07,3,False
HH0020,CHW007,Ruaraka,2023-10-04,4,False
HH0021,CHW008,Dagoreti,2023-03-03,2,False
HH0022,CHW004,Juja,2023-01-04,1,True
HH0023,CHW004,Juja,2023-01-17,2,False
HH0024,CHW009,Kasarani,2023-10-20,4,False
HH0025,CHW004,Juja,2023-02-19,6,False
HH0026,CHW001,Limuru,2023-12-01,2,False
HH0027,CHW002,Ruaraka,2023-04-09,8,True
HH0028,CHW003,Limuru,2023-04-04,4,False
HH0029,CHW002,Uthiru,2023-10-09,1,True
HH0030,CHW002,Ruaraka,2023-03-27,8,False
HH0031,CHW001,Lang'ata,2023-07-14,7,True
HH0032,CHW005,Dagoreti,2023-05-27,8,False
HH0033,CHW009,Kasarani,2023-06-10,8,True
HH0034,CHW009,Ruaraka,2023-03-22,2,True
HH0035,CHW003,Limuru,2023-11-01,4,True
HH0036,CHW007,Ruaraka,2023-10-19,1,False
HH0037,CHW010,Dagoreti,2023-09-25,5,False
HH0038,CHW004,Juja,2023-07-22,5,True
HH0039,CHW008,Dagoreti,2023-02-07,2,True
HH0040,CHW002,Ruaraka,2023-09-17,6,False
HH0041,CHW004,Juja,2023-05-26,5,True
HH0042,CHW010,Dagoreti,2023-09-28,5,True
HH0043,CHW002,Ruaraka,2023-05-16,2,True
HH0044,CHW009,Kasarani,2023-05-20,4,False
HH0045,CHW009,Dagoreti,2023-05-09,1,False
HH0046,CHW005,Uthiru,2023-01-02,3,False
HH0047,CHW009,Ruaraka,2023-08-07,2,False
HH0048,CHW003,Limuru,2023-07-09,3,False
HH0049,CHW006,Embakasi,2023-12-16,2,False
HH0050,CHW007,Ruaraka,2023-05-02,3,False
HH0051,CHW001,Lang'ata,2023-06-20,7,False
HH0052,CHW004,Juja,2023-03-23,2,False
HH0053,CHW004,Juja,2023-06-29,4,False
HH0054,CHW007,Ruaraka,2023-05-23,5,False
HH0055,CHW009,Dagoreti,2023-01-15,5,True
HH0056,CHW003,Limuru,2023-01-20,7,True
HH0057,CHW006,Kawangware,2023-06-10,2,False
HH0058,CHW005,Uthiru,2023-12-29,4,False
HH0059,CHW010,Limuru,2023-12-06,5,False
HH0060,CHW006,Kasarani,2023-12-23,3,False
HH0061,CHW007,Ruaraka,2023-11-12,7,False
HH0062,CHW007,Ruaraka,2023-08-27,4,False
HH0063,CHW003,Limuru,2023-05-26,6,False
HH0064,CHW004,Juja,2023-04-26,3,False
HH0065,CHW002,Uthiru,2023-08-01,4,False
HH0066,CHW003,Limuru,2023-02-24,4,False
HH0067,CHW009,Dagoreti,2023-01-26,2,False
HH0068,CHW009,Ruaraka,2023-11-01,8,False
HH0069,CHW009,Dagoreti,2023-10-08,3,False
HH0070,CHW005,Uthiru,2023-11-23,8,False
HH0071,CHW004,Juja,2023-06-21,2,False
HH0072,CHW004,Juja,2023-08-01,8,False
HH0073,CHW010,Dagoreti,2023-01-11,7,False
HH0074,CHW005,Dagoreti,2023-08-03,4,False
HH0075,CHW007,Ruaraka,2023-12-09,7,False
HH0076,CHW003,Limuru,2023-07-21,1,False
HH0077,CHW008,Dagoreti,2023-01-26,6,False
HH0078,CHW005,Dagoreti,2023-05-10,8,False
HH0079,CHW006,Embakasi,2023-11-29,1,True
HH0080,CHW001,Lang'ata,2023-04-13,3,False
HH0081,CHW002,Ruaraka,2023-08-27,6,False
HH0082,CHW002,Ruaraka,2023-06-09,1,True
HH0083,CHW005,Lang'ata,2023-12-13,7,False
HH0084,CHW002,Ruaraka,2023-02-22,5,False
HH0085,CHW010,Juja,2023-10-17,6,False
HH0086,CHW002,Uthiru,2023-01-07,8,False
HH0087,CHW008,Dagoreti,2023-08-11,5,True
HH0088,CHW010,Dagoreti,2023-09-05,5,False
HH0089,CHW005,Dagoreti,2023-05-05,7,False
HH0090,CHW006,Embakasi,2023-09-07,5,False
HH0091,CHW005,Lang'ata,2023-01-06,4,False
HH0092,CHW008,Dagoreti,2023-12-20,8,False
HH0093,CHW007,Ruaraka,2023-06-06,6,False
HH0094,CHW007,Ruaraka,2023-06-30,5,False
HH0095,CHW006,Embakasi,2023-10-02,3,False
HH0096,CHW005,Lang'ata,2023-10-29,5,False
HH0097,CHW004,Juja,2023-04-27,5,False
HH0098,CHW005,Uthiru,2023-01-28,3,False
HH0099,CHW002,Ruaraka,2023-10-21,8,False
HH0100,CHW008,Dagoreti,2023-02-03,2,False
HH0101,CHW003,Limuru,2023-10-16,2,False
HH0102,CHW002,Uthiru,2023-11-07,4,False
HH0103,CHW005,Lang'ata,2023-08-08,1,False
HH0104,CHW004,Juja,2023-05-16,3,False
HH0105,CHW003,Limuru,2023-07-29,8,False
HH0106,CHW008,Dagoreti,2023-12-18,5,False
HH0107,CHW004,Juja,2023-02-28,3,False
HH0108,CHW003,Limuru,2023-01-31,5,True
HH0109,CHW010,Dagoreti,2023-10-19,8,False
HH0110,CHW007,Ruaraka,2023-09-14,8,False
HH0111,CHW010,Limuru,2023-01-14,1,True
HH0112,CHW005,Lang'ata,2023-01-21,3,False
HH0113,CHW005,Uthiru,2023-10-27,8,False
HH0114,CHW008,Dagoreti,2023-07-29,2,False
HH0115,CHW006,Kasarani,2023-12-22,7,False
HH0116,CHW009,Kasarani,2023-08-21,5,True
HH0117,CHW006,Embakasi,2023-07-26,1,False
HH0118,CHW007,Ruaraka,2023-04-07,8,False
HH0119,CHW004,Juja,2023-10-09,5,True
HH0120,CHW008,Dagoreti,2023-03-04,4,True
HH0121,CHW003,Limuru,2023-10-10,7,True
HH0122,CHW002,Ruaraka,2023-02-28,2,False
HH0123,CHW009,Ruaraka,2023-05-20,8,False
HH0124,CHW004,Juja,2023-10-10,4,True
